Class,Precision,Recall,F1
Duplication,0.4922048997772829,0.8036363636363636,0.6104972375690608
Non-Links,0.7365853658536585,0.5490909090909091,0.6291666666666667
Other-Links,0.76,0.6218181818181818,0.684
Both,0.8563829787234043,0.5854545454545454,0.695464362850972
