Class,Precision,Recall,F1
Duplication,0.6791666666666667,0.5927272727272728,0.6330097087378641
Non-Links,0.495,0.72,0.5866666666666668
Other-Links,0.7061068702290076,0.6727272727272727,0.6890130353817504
Both,0.8188235294117647,0.6327272727272727,0.7138461538461538
