Class,Precision,Recall,F1
Duplication,0.4395833333333333,0.7672727272727272,0.5589403973509933
Non-Links,0.630057803468208,0.39636363636363636,0.4866071428571429
Other-Links,0.7288135593220338,0.6254545454545455,0.6731898238747555
Both,0.8144927536231884,0.5109090909090909,0.6279329608938546
