Class,Precision,Recall,F1
Duplication,0.4899328859060403,0.7963636363636364,0.6066481994459834
Non-Links,0.7723577235772358,0.6909090909090909,0.72936660268714
Other-Links,0.7021276595744681,0.48,0.570194384449244
Both,0.8518518518518519,0.5854545454545454,0.6939655172413793
