Class,Precision,Recall,F1
Duplication,0.4386792452830189,0.6763636363636364,0.5321888412017167
Non-Links,0.6307053941908713,0.5527272727272727,0.5891472868217054
Other-Links,0.642570281124498,0.5818181818181818,0.6106870229007633
Both,0.7780548628428927,0.5672727272727273,0.6561514195583595
