Class,Precision,Recall,F1
Duplication,0.4188861985472155,0.6290909090909091,0.5029069767441862
Non-Links,0.5785123966942148,0.509090909090909,0.541586073500967
Other-Links,0.625,0.6181818181818182,0.6215722120658135
Both,0.7524271844660194,0.5636363636363636,0.6444906444906444
