Class,Precision,Recall,F1
Duplication,0.6134453781512605,0.5309090909090909,0.5692007797270956
Non-Links,0.42657342657342656,0.6654545454545454,0.5198863636363636
Other-Links,0.632,0.5745454545454546,0.6019047619047619
Both,0.7676767676767676,0.5527272727272727,0.642706131078224
