Class,Precision,Recall,F1
Duplication,0.45038167938931295,0.6436363636363637,0.5299401197604791
Non-Links,0.6487455197132617,0.6581818181818182,0.6534296028880867
Other-Links,0.6095617529880478,0.5563636363636364,0.5817490494296578
Both,0.7731481481481481,0.6072727272727273,0.6802443991853362
